ID,Name,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
56,FIFA Soccer 13,88,37,6.6,348,Electronic Arts,E
57,Final Fantasy X,92,53,8.7,1056,SquareSoft,T
58,The Sims 3,86,75,7.6,886,The Sims Studio,T
59,Final Fantasy VIII,90,24,8.6,644,SquareSoft,T
60,Pok̩mon Platinum Version,83,46,8.5,203,Game Freak,E
61,Grand Theft Auto: Liberty City Stories,88,65,7.6,451,Rockstar Leeds,M
62,Call of Duty: Advanced Warfare,83,39,5.7,1443,Sledgehammer Games,M
63,FIFA 17,85,41,5,398,"EA Sports, EA Vancouver",E
64,Super Mario Galaxy 2,97,87,9.1,1854,Nintendo EAD Tokyo,E
65,Call of Duty: World at War,84,84,7.6,580,Treyarch,M
66,Battlefield 3,84,57,7.4,2142,EA DICE,M
67,Need for Speed Underground,85,33,8.6,171,EA Black Box,E
68,Just Dance,49,21,8,110,Ubisoft Paris,E10+
69,Battlefield 3,85,38,7.5,1761,EA DICE,M
70,Fallout 4,87,58,6.5,4228,Bethesda Game Studios,M
71,Tekken 3,96,15,9.1,367,Namco,T
72,The Legend of Zelda: Twilight Princess,95,73,9,1658,Nintendo,T
73,Crash Bandicoot 3: Warped,91,12,8.9,432,Naughty Dog,E
74,Mario Kart 8,88,82,9.1,1599,Nintendo,E
75,Super Smash Bros. Melee,92,38,9.1,568,HAL Labs,T
76,Need for Speed Underground 2,82,39,8.6,132,EA Canada,E
77,Medal of Honor: Frontline,88,29,8.5,135,EA LA,T
78,Just Dance 4,74,10,7.3,28,Ubisoft,E10+
79,Gears of War 2,93,90,7.7,2739,Epic Games,M
80,Uncharted 3: Drake's Deception,92,97,8.3,3712,Naughty Dog,T
81,Call of Duty 4: Modern Warfare,94,44,8.4,993,Infinity Ward,M
82,Uncharted 2: Among Thieves,96,105,8.8,5187,Naughty Dog,T
83,Big Brain Academy,74,45,7.4,27,Nintendo,E
84,Red Dead Redemption,95,73,8.8,2456,Rockstar San Diego,M
85,FIFA 14,86,37,4.3,576,EA Canada,E
86,Assassin's Creed III,85,41,6.9,1307,Ubisoft,M
87,Donkey Kong Country Returns,87,77,8.6,368,Retro Studios,E
88,Halo: Combat Evolved,97,68,8.6,1283,Bungie Software,M
89,The Elder Scrolls V: Skyrim,92,16,6.4,2527,Bethesda Game Studios,M
90,Pok̩mon Emerald Version,76,28,9,222,Game Freak,E
91,Kingdom Hearts,85,46,8.8,597,SquareSoft,E
92,Halo 3: ODST,83,94,7.1,1163,"Bungie Software, Bungie",M
93,Red Dead Redemption,95,96,9,2316,Rockstar San Diego,M
94,Super Mario Sunshine,92,61,8.6,439,Nintendo,E
95,World of Warcraft,93,57,7.3,2182,Blizzard Entertainment,T
96,Driver,87,22,8.1,78,Reflections Interactive,T
97,Gears of War 3,91,96,7.8,1504,Epic Games,M
98,Kinect Sports,73,51,7.4,95,Rare Ltd.,E10+
99,Gears of War,94,88,8.3,2295,Epic Games,M
100,FIFA 15,82,47,5.7,988,EA Sports,E
101,Metal Gear Solid 2: Sons of Liberty,96,42,8.7,1026,KCEJ,M
102,Metal Gear Solid,94,20,9.4,918,KCEJ,M
103,Metal Gear Solid 4: Guns of the Patriots,94,82,8.7,3558,Kojima Productions,M
104,Final Fantasy XII,92,64,7.6,972,Square Enix,T
105,The Last of Us,95,98,9.1,8003,Naughty Dog,M
106,LittleBigPlanet,95,85,6.8,5311,"SCE/WWS, Media Molecule",E
107,Resident Evil 2,89,13,9.2,364,Capcom,M
108,Dragon Quest IX: Sentinels of the Starry Skies,87,65,8.8,197,Level 5,E10+
109,Tekken 2,89,8,8.9,102,Namco,T
110,Destiny,76,95,6.1,5380,"Bungie Software, Bungie",T
111,LEGO Star Wars: The Complete Saga,80,17,8.9,62,Traveller's Tales,E10+
112,Cooking Mama,67,35,7.2,21,Taito Corporation,E
113,Assassin's Creed II,91,70,8.6,1202,Ubisoft Montreal,M
114,Assassin's Creed,81,77,7.7,1074,Ubisoft Montreal,M
115,Forza Motorsport 3,92,90,8,516,Turn 10,E
116,Super Mario Advance,84,19,7.8,41,Nintendo,E
117,Monster Hunter Freedom Unite,81,48,8.7,124,Capcom,T
118,Batman: Arkham City,96,42,8.6,2162,Rocksteady Studios,T
119,Grand Theft Auto V,97,14,7.9,764,Rockstar North,M
120,Mario Kart: Super Circuit,93,24,8.3,108,Intelligent Systems,E
121,Crash Bandicoot: The Wrath of Cortex,66,22,7.1,156,Traveller's Tales,E
122,Call of Duty: World at War,85,45,7.6,409,Treyarch,M
123,Uncharted 4: A Thief's End,93,113,7.9,7064,Naughty Dog,T
124,Final Fantasy XIII,83,83,7.3,2483,Square Enix,T
125,Final Fantasy IX,94,22,8.9,779,SquareSoft,T
126,Assassin's Creed III,84,61,6.7,1196,Ubisoft,M
127,Final Fantasy X-2,85,45,6.6,400,SquareSoft,T
128,Call of Duty: Advanced Warfare,81,53,5.4,898,Sledgehammer Games,M
129,Assassin's Creed II,90,82,8.8,1305,Ubisoft Montreal,M
130,New Super Mario Bros. U,84,70,8.1,733,Nintendo,E
131,Dragon Quest VIII: Journey of the Cursed King,89,63,8.8,245,Level 5,T
132,Professor Layton and the Curious Village,85,72,8.6,147,Level 5,E
133,FIFA Soccer 13,90,48,6.1,403,Electronic Arts,E
134,Diablo III,88,86,4,9629,Blizzard Entertainment,M
135,Medal of Honor: Rising Sun,68,30,7.6,100,EA LA,T
136,Guitar Hero II,92,69,8.5,112,Harmonix Music Systems,T
137,Fable III,80,88,6.5,604,Lionhead Studios,M
138,Resident Evil 5,84,76,7.5,667,Capcom,M
139,The Legend of Zelda: Phantom Hourglass,90,57,8,416,Nintendo,E
140,FIFA Soccer 11,89,51,8,233,EA Sports,E
141,Resident Evil,91,8,9,266,Capcom,M
142,Grand Theft Auto: Vice City Stories,86,50,8,150,Rockstar Leeds,M
143,Tony Hawk's Pro Skater,92,18,9.2,69,Neversoft Entertainment,T
144,Guitar Hero III: Legends of Rock,82,24,8.2,46,"Neversoft Entertainment, BudCat",T
145,Link's Crossbow Training,68,34,7.1,47,Nintendo,T
146,Fallout 3,93,84,8.5,1655,Bethesda Game Studios,M
147,Uncharted: Drake's Fortune,88,66,8.1,2306,"Naughty Dog, SCE/WWS",T
148,Madden NFL 06,88,29,8,121,EA Sports,E
149,StarCraft II: Wings of Liberty,93,82,8.2,3052,Blizzard Entertainment,T
150,Assassin's Creed,81,40,7.3,769,Ubisoft Montreal,M
151,God of War III,92,101,8.7,2633,SCE Santa Monica,M
152,Crash Team Racing,88,20,9,233,Naughty Dog,E
153,LEGO Star Wars: The Complete Saga,80,9,5.4,46,TT Fusion,E
154,Driver 2,62,14,7.7,92,Reflections Interactive,T
155,Batman: Arkham City,94,87,8.7,1472,Rocksteady Studios,T
156,Tony Hawk's Pro Skater 2,98,19,7.7,299,Neversoft Entertainment,T
157,The Lord of the Rings: The Two Towers,82,32,8.2,78,Stormfront Studios,T
158,Tomb Raider,91,13,8.6,147,Core Design Ltd.,T
159,Animal Crossing: City Folk,73,50,7.6,119,Nintendo,E
160,Uncharted: The Nathan Drake Collection,86,78,8.1,1264,Bluepoint Games,T
161,The Legend of Zelda: The Wind Waker,96,80,8.9,968,Nintendo,E
162,Guitar Hero III: Legends of Rock,86,36,8.4,87,Vicarious Visions,T
163,Luigi's Mansion: Dark Moon,86,74,8.4,458,Next Level Games,E
164,Forza Motorsport 4,91,83,8.2,617,Turn 10,E
165,Madden NFL 2005,91,30,7.9,78,EA Tiburon,E
166,Guitar Hero III: Legends of Rock,85,69,7.9,165,Neversoft Entertainment,T
167,Madden NFL 07,84,29,8.2,39,EA Sports,E
168,Halo 5: Guardians,84,101,6.4,2438,343 Industries,T
169,Spider-Man: The Movie,76,25,7.9,41,Treyarch,E
170,Call of Duty: Infinite Warfare,77,82,3.4,1129,Infinity Ward,M
171,God of War,94,75,8.9,997,SCE Santa Monica,M
172,Splatoon,81,88,8.5,1184,Nintendo,E10+
173,Nintendo Land,77,61,7.9,471,Nintendo,E10+
174,Tony Hawk's Pro Skater 3,97,34,7.5,298,Neversoft Entertainment,T
175,Winning Eleven: Pro Evolution Soccer 2007,86,19,8.9,33,Konami,E
176,The Elder Scrolls IV: Oblivion,94,90,8.7,1109,Bethesda Softworks,M
177,Need for Speed: Most Wanted,82,36,9.1,137,EA Canada,T
178,Michael Jackson: The Experience,56,37,8.3,31,"Ubisoft Paris, Ubisoft Montpellier",E10+
179,Resistance: Fall of Man,86,70,8.1,715,Insomniac Games,M
180,Kingdom Hearts II,87,64,9,766,Square Enix,E10+
181,Super Mario 3D World,93,83,9,1607,Nintendo,E
182,Fable II,89,95,6.5,2423,Lionhead Studios,M
183,Namco Museum,79,10,7.3,6,Mass Media,E
184,Batman: Arkham Asylum,91,70,8.9,1122,Rocksteady Studios,T
185,Metal Gear Solid 3: Snake Eater,91,68,9.3,955,KCEJ,M
186,Assassin's Creed: Revelations,80,39,7.5,613,Ubisoft Montreal,M
187,Fallout 4,88,39,6.2,1749,Bethesda Game Studios,M
188,FIFA 14,84,41,4.2,435,EA Canada,E
189,Daxter,85,59,8.7,109,Ready at Dawn,E10+
190,FIFA Soccer 06,80,32,7.8,47,EA Canada,E
191,EyeToy Play,80,32,7.5,22,"SCEE, Zoe Mode",E
192,Gran Turismo 5 Prologue,80,67,7.1,120,Polyphony Digital,E
193,Assassin's Creed: Revelations,80,77,7.2,564,Ubisoft Montreal,M
194,Street Fighter IV,94,61,7.3,330,Capcom,T
195,Madden NFL 2003,95,25,7.7,65,EA Sports,E
196,Half-Life,96,24,9.1,3161,Valve Software,M
197,World of Warcraft: The Burning Crusade,91,46,7.9,785,Blizzard Entertainment,T
198,Battlefield 1,88,31,8.4,809,EA DICE,M
199,God of War II,93,70,8.9,709,SCE Santa Monica,M
200,Fallout: New Vegas,84,81,8.1,769,Obsidian Entertainment,M
201,Forza Motorsport 2,90,66,8.3,381,Turn 10,E
202,Carnival Games,56,27,6,44,Cat Daddy Games,E
203,Watch Dogs,80,80,6.3,2996,Ubisoft Montreal,M
204,Tekken Tag Tournament,85,25,8.5,117,Namco,T
205,Far Cry 4,85,83,7.7,1653,Ubisoft Montreal,M
206,Left 4 Dead 2,89,76,8.6,681,Valve Software,M
207,The Witcher 3: Wild Hunt,92,79,9.2,10179,CD Projekt Red Studio,M
208,Assassin's Creed: Unity,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M
209,Batman: Arkham Knight,87,89,7.6,2679,Rocksteady Studios,M
210,The Legend of Zelda: Skyward Sword,93,81,8,1958,Nintendo,E10+
211,Fallout 3,90,57,8,910,Bethesda Game Studios,M
212,Professor Layton and the Diabolical Box,84,65,8.8,72,Level 5,E10+
213,EA Sports Active,81,27,8.7,39,EA Canada,E
214,Tony Hawk's Underground,90,38,8.7,121,Neversoft Entertainment,T
215,Monster Hunter 4 Ultimate,86,80,8.7,348,Capcom,T
216,The Elder Scrolls V: Skyrim,94,32,8.1,9073,Bethesda Game Studios,M
217,NBA 2K16,87,51,6.7,364,Visual Concepts,E10+
218,Tekken 5,88,62,8.6,229,Namco,T
219,MotorStorm,84,9,7.4,220,Evolution Studios,T
220,World Soccer Winning Eleven 8 International,91,26,9.1,38,KCET,E
221,Sports Champions,76,64,7.9,104,"SCEA, Zindagi Games",E10+
222,Call of Duty: Ghosts,78,49,3.7,1564,Infinity Ward,M
223,Flash Focus: Vision Training in Minutes a Day,59,22,4,4,"Nintendo, Namco Bandai Games",E
224,Tom Clancy's The Division,80,64,7,2219,Massive Entertainment,M
225,Big Brain Academy: Wii Degree,68,33,6.9,39,Nintendo,E
226,LEGO Indiana Jones: The Original Adventures,77,60,7.5,66,Traveller's Tales,E10+
227,The Sims: Unleashed,79,21,8,29,Maxis,T
228,Harry Potter and the Sorcerer's Stone,64,11,7.5,41,Argonaut Games,E
229,Super Paper Mario,85,56,7.9,417,Intelligent Systems,E
230,Spyro: Year of the Dragon,91,15,8.8,207,Insomniac Games,E
231,Assassin's Creed IV: Black Flag,88,36,8.1,840,Ubisoft,M
232,FIFA Soccer 2005,81,27,7.6,56,EA Canada,E
233,Tony Hawk's Pro Skater 4,94,27,8.5,128,Neversoft Entertainment,T
234,MySims,67,15,7.3,13,TOSE,E
235,Midnight Club 3: DUB Edition,74,34,8.4,31,Rockstar Leeds,E10+
236,SOCOM: U.S. Navy SEALs,82,42,7.9,82,Zipper Interactive,M
237,Jak and Daxter: The Precursor Legacy,90,35,8.7,312,Naughty Dog,E
238,Pro Evolution Soccer 2008,82,10,7.9,38,Konami,E
239,Resident Evil 4,96,38,8.9,1013,Capcom,M
240,Guitar Hero: World Tour,86,18,7.6,71,Vicarious Visions,T
241,FIFA Soccer 10,91,56,7.6,203,EA Sports,E
242,Star Wars: Battlefront,82,36,8.7,142,Pandemic Studios,T
243,The Simpsons: Road Rage,64,23,7.7,32,Fox Interactive,T
244,Luigi's Mansion,78,34,8.5,161,Nintendo,E
245,Battlefield 4,85,18,6.9,1580,EA DICE,M
246,Star Wars: Battlefront II,84,30,9,268,Pandemic Studios,T
247,Cooking Mama 2: Dinner With Friends,70,39,8,9,Office Create,E
248,Grand Theft Auto: Liberty City Stories,78,49,7.8,112,Rockstar Leeds,M
249,The Getaway,72,49,6.8,88,Team Soho,M
250,James Bond 007: Agent Under Fire,72,27,7.9,48,EA Redwood Shores,T
251,FIFA Soccer 11,88,66,7.5,155,EA Sports,E
252,Left 4 Dead,89,67,7.9,1309,Certain Affinity,M
253,Assassin's Creed: Unity,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M
254,Resident Evil 5,83,91,7.5,523,Capcom,M
255,Assassin's Creed: Brotherhood,89,81,8.3,693,Ubisoft Montreal,M
256,Battlefield 4,80,14,5.8,579,EA DICE,M
257,Batman: Arkham Asylum,92,78,8.7,1080,Rocksteady Studios,T
258,Battlefield 4,79,21,5.6,542,EA DICE,M
259,Battlefield: Bad Company 2,88,75,8.6,869,EA DICE,M
260,Guitar Hero: On Tour,71,70,8.8,29,Vicarious Visions,E10+
261,Clubhouse Games,83,30,8.4,28,Agenda,E
262,Borderlands,84,83,8.2,715,Gearbox Software,M
263,Tekken 4,79,23,8.3,126,Namco,T
264,Grand Theft Auto 2,70,15,8,67,DMA Design,T
265,Metal Gear Solid V: The Phantom Pain,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M
266,Spider-Man 2,80,50,8.9,106,Treyarch,T
267,FIFA Soccer 2003,88,15,6.7,35,EA Canada,E
268,LittleBigPlanet 2,91,86,8.4,657,Media Molecule,E
269,Crash Bash,68,12,8.2,99,Eurocom Entertainment Software,E
270,Assassin's Creed Syndicate,76,86,6.8,1319,Ubisoft Quebec,M
271,LEGO Batman: The Videogame,76,49,7.9,75,Traveller's Tales,E10+
272,Destiny,75,11,5.5,1735,"Bungie Software, Bungie",T
273,Far Cry 3,90,32,8.5,1041,Ubisoft Montreal,M
274,James Bond 007: Nightfire,77,20,8.5,66,Eurocom Entertainment Software,T
275,Star Wars Episode III: Revenge of the Sith,60,34,7.2,82,Double Helix Games,T
276,The Legend of Zelda: Spirit Tracks,87,75,7.8,228,Nintendo,E10+
277,Max Payne,80,21,8.5,86,Rockstar Toronto,M
278,Assassin's Creed IV: Black Flag,86,35,7.9,701,Ubisoft,M
279,The Lord of the Rings: The Return of the King,85,31,8.7,105,EA Games,T
280,Gears of War: Ultimate Edition,82,74,7.5,563,"Splash Damage, The Coalition",M
281,True Crime: Streets of LA,77,39,8,94,"Luxoflux, Inc.",M
282,Professor Layton and the Unwound Future,86,62,9.2,111,Level 5,E10+
283,FIFA 16,84,45,4.4,459,EA Sports,E
284,Wii Music,63,43,4.6,116,Nintendo,E
285,Madden NFL 16,83,37,5.9,180,EA Sports,E
286,Gran Turismo 6,81,81,7.7,758,Polyphony Digital,E
287,Halo: The Master Chief Collection,85,69,7.2,1267,343 Industries,M
288,Super Mario Maker,88,85,8.7,691,Nintendo,E
289,God of War: Chains of Olympus,91,79,8.6,565,Ready at Dawn,M
290,Enter the Matrix,62,30,8.1,137,Shiny Entertainment,T
291,Crisis Core: Final Fantasy VII,83,67,8,463,Square Enix,T
292,Dance Central,82,63,7.6,85,Harmonix Music Systems,T
293,L.A. Noire,89,78,7.7,1010,Team Bondi,M
294,Ace Combat 04: Shattered Skies,89,22,9.1,95,Namco,E
295,Animal Crossing,87,42,8.9,137,Nintendo,E
296,FIFA Soccer 08,83,12,6.5,36,EA Canada,E
297,Spider-Man,87,19,9,107,Neversoft Entertainment,E
298,Mario Party 9,73,45,6.8,155,Nd Cube,E
299,Sonic Rush,82,43,8.5,101,"Dimps Corporation, Sonic Team",E
300,Rhythm Heaven,83,48,9,63,Nintendo,E
301,Fallout: New Vegas,82,57,7.8,492,Obsidian Entertainment,M
302,Personal Trainer: Cooking,81,12,7.8,10,Indies Zero,E
303,The Elder Scrolls IV: Oblivion,93,45,8,604,4J Studios,M
304,The Legend of Zelda: A Link Between Worlds,91,81,8.9,1057,Nintendo,E
305,Resident Evil 6,74,34,5.4,1304,Capcom,M
306,Mass Effect 2,96,98,8.9,3143,BioWare,M
307,Dragon Ball Z: Budokai,67,28,7.9,71,Dimps Corporation,T
308,Madden NFL 2002,94,23,7.9,46,EA Sports,E
309,The Sims: Vacation,75,18,7.8,22,Maxis,T
310,Animal Crossing: Happy Home Designer,66,60,6.9,106,Nintendo,E
311,The Sims 4,70,74,3.9,2057,Maxis,T
312,Borderlands 2,89,59,8.2,892,Gearbox Software,M
313,LEGO Batman: The Videogame,72,16,8,16,TT Fusion,E10+
314,Kung Fu Panda,75,42,7.4,32,"Luxoflux, Inc.",E10+
315,Mass Effect 3,93,74,5.8,3725,BioWare,M
316,Heavy Rain,87,107,7.7,2759,Quantic Dream,M
317,Saints Row 2,81,75,8.1,307,Volition Inc.,M
318,Tom Clancy's Splinter Cell,93,46,8.5,121,Ubisoft Montreal,T
319,FIFA 14,87,26,6.3,616,EA Canada,E
320,Killzone 2,91,94,8.1,1505,Guerrilla,M
321,Far Cry 3,91,39,8.6,1247,Ubisoft Montreal,M
322,Epic Mickey,73,78,7,131,Junction Point,E
323,NBA 2K13,88,41,7.2,131,Visual Concepts,E
324,Dragon Ball Z: Budokai Tenkaichi 3,73,24,9.2,173,"Spike, Namco Bandai Games",T
325,The Sims: Livin Large,82,23,6.6,20,Maxis,T
326,World Soccer Winning Eleven 6 International,93,24,9.1,65,KCET,E
327,Devil May Cry,94,37,8.5,466,Capcom,M
328,Star Wars: The Old Republic,85,73,5.9,2748,"LucasArts, BioWare",T
329,Middle-Earth: Shadow of Mordor,84,85,8.1,1886,Monolith Productions,M
330,Sonic Heroes,64,29,7.8,94,Sonic Team,E
331,Hitman 2: Silent Assassin,85,19,7.8,78,Io Interactive,M
332,Titanfall,86,68,6.4,2658,Respawn Entertainment,M
333,Battlefield: Bad Company 2,88,59,8.5,572,EA DICE,M
334,SOCOM II: U.S. Navy SEALs,87,42,9,93,Zipper Interactive,M
335,Pac-Man Collection,79,13,7.8,4,Mass Media,E
336,Street Fighter IV,93,77,7.3,292,Capcom,T
337,inFAMOUS,85,98,8.3,1172,Sucker Punch,T
338,Kirby Super Star Ultra,76,40,8.8,76,HAL Labs,E
339,Call of Duty: Ghosts,78,7,4.3,700,Infinity Ward,M
340,Mass Effect,91,74,8.7,1692,BioWare,M
341,Sonic Mega Collection Plus,73,21,8.6,30,Sonic Team,E
342,World Soccer Winning Eleven 7 International,93,28,9,45,KCET,E
343,Sega Superstars Tennis,67,45,6.8,18,Sumo Digital,E10+
344,Hot Shots Golf 3,85,30,8.9,16,Clap Hanz,E
345,Cooking Mama: Cook Off,61,37,5.3,23,OfficeCreate,E
346,Call of Duty: Finest Hour,76,49,7.7,69,Spark Unlimited,T
347,WarioWare: Smooth Moves,83,61,7.4,179,Intelligent Systems,E10+
348,Madden NFL 13,81,36,5.8,179,EA Tiburon,E
349,The Elder Scrolls III: Morrowind,87,34,8.7,111,Bethesda Softworks,T
350,Assassin's Creed IV: Black Flag,83,29,7.8,1530,Ubisoft,M
351,Mortal Kombat,84,60,8.4,494,NetherRealm Studios,M
352,Madden NFL 10,85,58,6.1,90,EA Tiburon,E
353,BioShock,96,88,8.9,2249,"Irrational Games, 2K Marin",M
354,Metroid Prime,97,70,9.3,747,Retro Studios,T
355,Assassin's Creed: Brotherhood,90,59,8.2,791,Ubisoft Montreal,M
356,Medal of Honor,75,56,7.5,286,"EA DICE, Danger Close",M
357,inFAMOUS: Second Son,80,90,7.9,2944,Sucker Punch,T
358,NBA Street,89,22,8.6,39,NuFX,E
359,Jak II,87,47,8.2,241,Naughty Dog,T
360,Need for Speed: Hot Pursuit,89,59,7.2,301,Criterion Games,E10+
361,Skylanders: Spyro's Adventure,81,11,5.6,31,Toys for Bob,E10+
362,Battlefield 3,89,61,7.5,4926,EA DICE,M
363,Mortal Kombat X,83,81,7.7,836,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
364,The Sims,83,33,7.7,46,Edge of Reality,T
365,Killzone 3,84,85,7.9,942,Guerrilla,M
366,Star Wars: The Force Unleashed,73,74,6.7,389,LucasArts,T
367,Yoshi's Island DS,81,42,7.4,67,Artoon,E
368,Saints Row: The Third,84,70,7.6,490,Volition Inc.,M
369,Tekken 6,79,63,7.4,211,Namco Bandai Games,T
370,Sonic and the Secret Rings,69,44,6.6,174,Sonic Team,E
371,The Legend of Zelda: A Link to the Past,95,30,9.1,314,Capcom,E
372,Onimusha: Warlords,86,23,8.2,56,Capcom,M
373,L.A. Noire,89,83,7.8,893,Team Bondi,M
374,Call of Duty 3,82,71,6.5,233,Treyarch,T
375,Madden NFL 12,78,55,5.9,94,EA Tiburon,E
376,LEGO Star Wars II: The Original Trilogy,84,32,9,41,Traveller's Tales,E10+
377,Killzone: Shadow Fall,73,88,6.8,2102,Guerrilla,M
378,Madden NFL 11,84,47,5.7,120,EA Tiburon,E
379,Burnout 3: Takedown,93,52,9.1,271,Criterion Games,T
380,Mario vs. Donkey Kong: Mini-Land Mayhem!,79,51,7.7,18,Nintendo,E
381,Professor Layton and the Last Specter,83,58,8.7,52,Level 5,E10+
382,Call Of Duty 2: Big Red One,77,39,8.2,69,Treyarch,T
383,Medal of Honor,92,17,8.6,80,Dreamworks Interactive,T
384,Fable,85,87,8.5,268,Big Blue Box,M
385,Guitar Hero: World Tour,85,67,6.3,171,Neversoft Entertainment,T
386,FIFA 17,84,50,5.5,201,"EA Sports, EA Vancouver",E
387,Tom Clancy's Splinter Cell,89,24,7.7,102,Ubisoft Shanghai,T
388,Need for Speed: Shift,84,55,6.9,113,Slightly Mad Studios,E
389,Medal of Honor Heroes,71,24,7.9,47,Team Fusion,T
390,Final Fantasy XIII-2,79,53,6.6,707,Square Enix,T
391,Midnight Club: Street Racing,78,18,7.8,21,Angel Studios,T
392,Skate 3,80,65,8,127,EA Black Box,T
393,ESPN NFL 2K5,90,37,8.2,84,Visual Concepts,E
394,Halo Wars,82,92,7.2,454,Ensemble Studios,T
395,NBA 2K12,90,42,7.7,134,Visual Concepts,E
396,FIFA Soccer 10,90,63,7.5,133,EA Sports,E
397,Medal of Honor,74,71,6.7,288,"Dice, Danger Close",M
398,Harry Potter and the Chamber of Secrets,71,16,7.6,49,Electronic Arts,E
399,God of War Collection,91,50,8.7,529,Bluepoint Games,M
400,NBA Live 2005,84,21,8.1,44,EA Canada,E
401,Mario Strikers Charged,79,47,8,124,Next Level Games,E10+
402,FIFA Soccer 09,87,42,7.5,108,EA Canada,E
403,Style Savvy,73,4,7.7,7,syn Sophia,E
404,WWE SmackDown vs. RAW 2007,80,27,8.6,57,Yuke's,T
405,LEGO Star Wars: The Complete Saga,80,24,7.4,114,Traveller's Tales,E10+
406,Madden NFL 08,78,11,7.8,17,EA Tiburon,E
407,Monster Hunter Freedom 2,72,38,8.7,83,Capcom,T
408,Sonic Adventure 2 Battle,73,28,8.3,179,Sonic Team,E
409,Madden NFL 13,83,22,5.5,101,EA Tiburon,E
