vgsales.id,vgsales.publisher,vgsales.global_sales,vgrating.critic_score,vgrating.user_score,vgrating.rating
4046,Nintendo,0,91,8,E
4064,City Interactive,0,89,8,E
4064,City Interactive,0,89,8,E
4106,System 3 Arcade Software,0,90,8,E
4106,System 3 Arcade Software,0,90,8,E
4568,D3Publisher,0,89,8,E
4568,D3Publisher,0,89,8,E
4590,Nintendo,0,89,9,E
4590,Nintendo,0,89,9,E
4598,Electronic Arts,0,89,8,E
4598,Electronic Arts,0,89,8,E
4635,Ubisoft,0,89,9,E
4635,Ubisoft,0,89,9,E
4774,Electronic Arts,0,90,8,E
4774,Electronic Arts,0,90,8,E
5024,Electronic Arts,0,89,9,E
5024,Electronic Arts,0,89,9,E
5035,SquareSoft,0,90,8,E
5035,SquareSoft,0,90,8,E
5148,Nintendo,0,88,8,E
5148,Nintendo,0,88,8,E
5353,Zoo Digital Publishing,0,88,8,E
5353,Zoo Digital Publishing,0,88,8,E
5471,Universal Interactive,0,90,8,E
5471,Universal Interactive,0,90,8,E
5566,Starpath Corp.,0,90,8,E
5566,Starpath Corp.,0,90,8,E
5802,Mattel Interactive,0,88,8,E
5802,Mattel Interactive,0,88,8,E
6338,THQ,0,90,9,E
6338,THQ,0,90,9,E
6596,Eidos Interactive,0,93,9,E
6596,Eidos Interactive,0,93,9,E
4568,D3Publisher,0,89,8,E
4568,D3Publisher,0,89,8,E
4590,Nintendo,0,89,9,E
4590,Nintendo,0,89,9,E
4598,Electronic Arts,0,89,8,E
4598,Electronic Arts,0,89,8,E
4635,Ubisoft,0,89,9,E
4635,Ubisoft,0,89,9,E
4774,Electronic Arts,0,90,8,E
4774,Electronic Arts,0,90,8,E
5024,Electronic Arts,0,89,9,E
5024,Electronic Arts,0,89,9,E
5035,SquareSoft,0,90,8,E
5035,SquareSoft,0,90,8,E
5148,Nintendo,0,88,8,E
5148,Nintendo,0,88,8,E
5353,Zoo Digital Publishing,0,88,8,E
5353,Zoo Digital Publishing,0,88,8,E
5471,Universal Interactive,0,90,8,E
5471,Universal Interactive,0,90,8,E
5566,Starpath Corp.,0,90,8,E
5566,Starpath Corp.,0,90,8,E
5802,Mattel Interactive,0,88,8,E
5802,Mattel Interactive,0,88,8,E
6338,THQ,0,90,9,E
6338,THQ,0,90,9,E
6596,Eidos Interactive,0,93,9,E
6596,Eidos Interactive,0,93,9,E
